,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration
854,2011-03-31 11:30:00+00:00,FRCC,"Greater Tampa Bay, Florida",Severe Weather,206.0,87000,2023-11-27 20:30:00
855,2011-04-03 20:23:00+00:00,SERC,Unknown,Suspected Cyber Attack,0.0,0,2023-11-27 15:00:00
856,2011-04-04 11:47:00+00:00,SERC,"Memphis, Tennessee",Severe Weather,359.0,63000,2023-11-27 00:01:00
857,2011-04-04 13:00:00+00:00,SERC,"Shelby County, Tennessee",Severe Weather,300.0,63000,2023-11-27 00:00:00
858,2011-04-04 14:00:00+00:00,SERC,"Davidson County, Tennessee",Severe Weather,300.0,73000,2023-11-27 00:01:00
859,2011-04-04 19:00:00+00:00,SERC,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",Severe Weather,0.0,74645,2023-11-27 20:00:00
860,2011-04-04 19:00:00+00:00,RFC,"Kentucky, West Virginia",Severe Weather,0.0,52920,2023-11-27 12:00:00
861,2011-04-04 21:00:00+00:00,SERC,"Alabama, Florida, Georgia, Mississippi",Severe Weather,674.0,303434,2023-11-27 23:30:00
862,2011-04-05 02:00:00+00:00,SERC,"North Carolina, South Carolina",Severe Weather,1200.0,256000,2023-11-27 23:00:00
863,2011-04-06 10:50:00+00:00,RFC,"Felton, Delaware",Vandalism,0.0,0,2023-11-27 10:50:00
864,2011-04-11 17:40:00+00:00,WECC,"Salt Lake City, Utah",Suspicious Activity,0.0,0,2023-11-27 17:51:00
865,2011-04-16 14:16:00+00:00,SERC,Central and Eastern North Carolina,Severe Weather,0.0,220000,2023-11-27 16:30:00
866,2011-04-19 20:00:00+00:00,SERC,Illinois,Severe Weather,0.0,80000,2023-11-27 22:00:00
867,2011-04-19 14:01:00+00:00,WECC,"Graham, Washington",Vandalism,0.0,0,2023-11-27 16:04:00
868,2011-04-19 22:44:00+00:00,SERC,"Memphis, Tennessee",Severe Weather,100.0,64000,2023-11-27 02:00:00
869,2011-04-19 23:02:00+00:00,SERC,"Memphis, Tennessee",Severe Weather,300.0,105000,2023-11-27 17:32:00
870,2011-04-19 23:13:00+00:00,SERC,"Osceola, Arkansas",Severe Weather,22.0,0,2023-11-27 19:14:00
871,2011-04-20 02:00:00+00:00,RFC,"Indiana, Kentucky, Ohio",Severe Weather - High Winds,0.0,165711,2023-11-27 12:00:00
872,2011-04-20 08:07:00+00:00,SERC,"Ruston, Louisiana",Equipment Malfunction,33.0,11000,2023-11-27 08:14:00
873,2011-04-21 07:15:00+00:00,WECC,"Oquirrh Substation, Salt Lake City, Utah",Vandalism,0.0,0,2023-11-27 16:50:00
874,2011-04-21 19:00:00+00:00,RFC,"Trenton, Michigan",Suspicious Activity,0.0,0,2023-11-27 19:05:00
875,2011-04-22 21:00:00+00:00,SERC,"Metro St. Louis area, Missouri",Severe Weather,0.0,55000,2023-11-27 23:00:00
876,2011-04-25 16:33:00+00:00,SERC,Northeast Tennessee,Equipment Malfunction,140.0,0,2023-11-27 17:19:00
877,2011-04-25 17:30:00+00:00,SPP,"Arkansas, Louisiana, Mississippi",Severe Weather,0.0,141700,2023-11-27 18:00:00
878,2011-04-26 05:49:00+00:00,SPP,Southern Louisiana,Severe Weather,120.0,0,2023-11-27 09:59:00
879,2011-04-26 09:51:00+00:00,SERC,"Alabama, Georgia, Mississippi, Tennessee",Severe Weather,0.0,55000,2023-11-27 09:51:00
880,2011-04-26 13:04:00+00:00,WECC,"Salt Lake City, Utah",Vandalism,0.0,0,2023-11-27 14:00:00
881,2011-04-26 18:14:00+00:00,SPP,Eastern Arkansas,Severe Weather,50.0,13000,2023-11-27 17:00:00
882,2011-04-27 08:00:00+00:00,SERC,"Alabama, Florida, Georgia, Mississippi",Severe Weather,1422.0,426640,2023-11-27 16:03:00
883,2011-04-27 10:00:00+00:00,SERC,"Alabama, Georgia, Mississippi, Tennessee",Severe Weather,0.0,612000,2023-11-27 16:29:00
884,2011-04-27 22:00:00+00:00,SERC,"Ohio, Tennessee, Virginia",Severe Weather,0.0,69000,2023-11-27 10:00:00
885,2011-04-28 05:00:00+00:00,RFC,"Cleveland area, Ohio",Severe Weather,0.0,86000,2023-11-27 18:30:00
886,2011-04-28 16:09:00+00:00,WECC,"Phoenix, Arizona",Equipment Malfunction,960.0,0,2023-11-27 16:10:00
887,2011-05-02 17:06:00+00:00,,Hawaii,Severe Weather,220.0,62000,2023-11-27 20:00:00
888,2011-05-02 14:00:00+00:00,NPCC,"West River Substation, New Haven, Connecticut",Suspected Physical Attack,0.0,0,2023-11-27 14:00:00
889,2011-05-02 08:52:00+00:00,WECC,"N. Ogden Substation, Ogden, Utah",Vandalism,0.0,0,2023-11-27 10:46:00
890,2011-05-03 12:00:00+00:00,NPCC,"St. Lawrence Power Dam, New York",Suspected Physical Attack,0.0,0,2023-11-27 12:00:00
891,2011-05-04 13:08:00+00:00,RFC,Maryland,Suspected Physical Attack,0.0,0,2023-11-27 13:25:00
892,2011-05-04 12:20:00+00:00,RFC,Michigan,Suspected Sabotage,0.0,0,2023-11-27 15:40:00
893,2011-05-05 09:15:00+00:00,NPCC,New Hampshire,Vandalism,0.0,0,2023-11-27 09:15:00
894,2011-05-06 06:56:00+00:00,WECC,"Alderwood Substation, Portland, Oregon",Vandalism,0.0,0,2023-11-27 10:30:00
895,2011-05-08 19:35:00+00:00,NPCC,New York,Vandalism,0.0,0,2023-11-27 19:35:00
896,2011-05-09 13:11:00+00:00,NPCC,"Milton, New Hampshire",Vandalism,0.0,0,2023-11-27 13:11:00
897,2011-05-09 04:08:00+00:00,RFC,"Holtwood, Pennsylvania",Suspected Physical Attack,630.0,0,2023-11-27 06:40:00
898,2011-05-10 22:21:00+00:00,RFC,"Kentucky, West Virginia",Severe Weather,0.0,58000,2023-11-27 14:25:00
899,2011-05-10 13:45:00+00:00,NPCC,New Hampshire,Vandalism,0.0,0,2023-11-27 15:00:00
900,2011-05-10 03:25:00+00:00,RFC,"Upper Peninsula, Michigan",Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),585.0,78213,2023-11-27 14:10:00
901,2011-05-11 15:55:00+00:00,MRO,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",Vandalism,0.0,0,2023-11-27 13:57:00
902,2011-05-11 13:35:00+00:00,WECC,"Green River, Wyoming",Vandalism,0.0,0,2023-11-27 13:35:00
903,2011-05-11 11:00:00+00:00,NPCC,"North Chelsea Substation, New York",Vandalism,0.0,0,2023-11-27 11:30:00
904,2011-05-11 00:15:00+00:00,SERC,"Charlotte, North Carolina",Severe Weather,300.0,71000,2023-11-27 17:20:00
905,2011-05-13 06:00:00+00:00,WECC,"Salt Lake, Utah",Vandalism,0.0,0,2023-11-27 06:00:00
906,2011-05-21 17:00:00+00:00,WECC,"Dixie Valley Area, Nevada",Physical Attack,56.0,0,2023-11-27 18:34:00
907,2011-05-22 17:09:00+00:00,SPP,"Joplin, Sarcoxie, and Wentworth, Missouri",Severe Weather,200.0,20000,2023-11-27 12:01:00
908,2011-05-23 16:45:00+00:00,RFC,"Central, Indiana",Severe Weather,1024.0,215387,2023-11-27 23:59:00
909,2011-05-23 12:30:00+00:00,SERC,"St. Louis County, Missouri",Severe Weather,0.0,70000,2023-11-27 12:30:00
910,2011-05-24 16:45:00+00:00,SPP,Central Oklahoma,Severe Weather,0.0,54000,2023-11-27 17:00:00
911,2011-05-24 16:35:00+00:00,SERC,Eastern Virginia,Severe Weather,790.0,175000,2023-11-27 12:40:00
912,2011-05-24 09:00:00+00:00,RFC,"Chicago, Illinois",Physical Attack,0.0,0,2023-11-27 09:10:00
913,2011-05-25 22:14:00+00:00,RFC,Central Indiana,Severe Weather,200.0,141000,2023-11-27 11:00:00
914,2011-05-26 19:56:00+00:00,RFC,Central Pennsylvania,Severe Weather,150.0,120001,2023-11-27 18:00:00
915,2011-05-26 18:30:00+00:00,SERC,"Southern Balancing Area, Georgia",Severe Weather,729.0,218783,2023-11-27 04:44:00
916,2011-05-26 01:00:00+00:00,SERC,"Greenwood, Mississippi",Transmission Level Interruption,30.0,10000,2023-11-27 06:00:00
917,2011-05-29 18:30:00+00:00,RFC,"Mid and Southern Lower Peninsula, Michigan",Severe Weather,250.0,113000,2023-11-27 22:00:00
918,2011-06-02 23:45:00+00:00,SERC,"Greater Columbia, South Carolina",Severe Weather,0.0,50465,2023-11-27 16:00:00
919,2011-06-04 01:17:00+00:00,WECC,"Midway, California",Vandalism,0.0,420,2023-11-27 03:25:00
920,2011-06-05 05:30:00+00:00,TRE,"Houston Metro-Area, Texas",Severe Thunderstorms,473.0,78000,2023-11-27 01:30:00
921,2011-06-05 20:02:00+00:00,WECC,"Melones, California",Electrical System Separation (Islanding),10.0,5314,2023-11-27 20:55:00
922,2011-06-06 00:13:00+00:00,SPP,"El Paso County, Texas; Dona Ana County, New Mexico",Load Shed/ Automatic undervoltage relay action,450.0,162000,2023-11-27 03:15:00
923,2011-06-06 15:00:00+00:00,SPP,"Eastern, Arkansas",Public Appeal to Reduce Electricity Usage,0.0,13000,2023-11-27 15:00:00
924,2011-06-07 14:00:00+00:00,RFC,Ohio,Severe Weather,0.0,52747,2023-11-27 06:00:00
925,2011-06-08 12:58:00+00:00,WECC,"Fredrickson Substation, Washington",Vandalism,0.0,0,2023-11-27 12:58:00
926,2011-06-09 04:30:00+00:00,RFC,Illinois,Severe Thunderstorms,0.0,169000,2023-11-27 12:00:00
927,2011-06-09 14:15:00+00:00,WECC,"San Antonio Dam Area, Los Angeles County, California",Suspected Physical Attack,0.0,0,2023-11-27 14:15:00
928,2011-06-09 17:51:00+00:00,NPCC,"Western, Massachusetts; Connecticut",Severe Thunderstorms,0.0,100000,2023-11-27 12:00:00
929,2011-06-12 19:00:00+00:00,RFC,Virginia,Severe Thunderstorms,250.0,56000,2023-11-27 20:30:00
930,2011-06-15 16:00:00+00:00,WECC,"Bingham County, Idaho",Vandalism,0.0,0,2023-11-27 06:30:00
931,2011-06-15 19:15:00+00:00,SERC,Georgia,Severe Thunderstorms,563.0,169000,2023-11-27 06:00:00
932,2011-06-15 19:17:00+00:00,SERC,"Piedmont, North Carolina",Severe Thunderstorms,300.0,70135,2023-11-27 01:45:00
933,2011-06-18 15:30:00+00:00,SERC,"Northern, Georgia",Severe Thunderstorms,312.0,93828,2023-11-27 15:42:00
934,2011-06-18 16:45:00+00:00,SPP,"Eastern, Arkansas",Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 23:59:00
935,2011-06-18 17:00:00+00:00,SERC,North Carolina; South Carolina,Severe Thunderstorms,300.0,70000,2023-11-27 21:33:00
936,2011-06-20 10:36:00+00:00,WECC,"Collins Substation, Washington",Vandalism,0.0,0,2023-11-27 10:36:00
937,2011-06-21 18:30:00+00:00,RFC,AEP Region,Severe Weather,0.0,56000,2023-11-27 07:00:00
938,2011-06-21 21:45:00+00:00,RFC,Illinois,Severe Thunderstorms,0.0,300000,2023-11-27 02:00:00
939,2011-06-22 09:46:00+00:00,SERC,"Knoxville, Tennessee",Severe Weather,0.0,106300,2023-11-27 09:46:00
940,2011-06-22 19:00:00+00:00,SERC,Alabama; Georgia,Severe Thunderstorms,316.0,75101,2023-11-27 01:00:00
941,2011-06-22 20:12:00+00:00,WECC,"Knoble Substation, Spanaway, Washington",Vandalism,0.0,0,2023-11-27 20:12:00
942,2011-06-23 08:10:00+00:00,NPCC,"Highgate, Vermont",Vandalism,0.0,0,2023-11-27 09:00:00
943,2011-06-24 18:30:00+00:00,SERC,North/North Central Alabama; Georgia,Severe Thunderstorms,340.0,102275,2023-11-27 01:30:00
944,2011-06-26 16:46:00+00:00,SPP,Southwest Kansas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 07:59:00
945,2011-06-26 18:00:00+00:00,SERC,Alabama; Georgia,Severe Thunderstorms,300.0,90160,2023-11-27 13:00:00
946,2011-06-27 00:00:00+00:00,SERC,Illinois; Missouri,Severe Thunderstorms,0.0,80000,2023-11-27 01:00:00
947,2011-06-27 15:00:00+00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 19:00:00
948,2011-06-27 18:55:00+00:00,WECC,"Olympic Pipeline Substation, Washington",Vandalism,0.0,0,2023-11-27 18:55:00
949,2011-06-29 11:30:00+00:00,SPP,"Panhandle and Muleshoe, Texas",Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 18:04:00
950,2011-06-30 14:11:00+00:00,WECC,"Phoenix, Arizona",Major System Interruption/Load Shed,5299.0,160000,2023-11-27 23:25:00
951,2011-06-30 22:30:00+00:00,RFC,Illinois,Severe Weather,0.0,121000,2023-11-27 17:00:00
952,2011-06-30 22:31:00+00:00,WECC,"Olympic Pipeline Substation, Washington",Vandalism,0.0,0,2023-11-27 22:31:00
953,2011-07-01 08:00:00+00:00,NPCC,"CONVEX Local Control Center, Connecticut",Vandalism,0.0,0,2023-11-27 08:01:00
954,2011-07-01 16:38:00+00:00,RFC,Greene County Ohio,Vandalism,0.0,0,2023-11-27 22:38:00
955,2011-07-01 17:00:00+00:00,MRO,Southwest and South Central Minnesota,Severe Weather,0.0,70000,2023-11-27 20:00:00
956,2011-07-02 20:15:00+00:00,RFC,"South East, Lower Peninsula, Michigan",Severe Weather,0.0,182000,2023-11-27 22:00:00
957,2011-07-04 18:00:00+00:00,SERC,Virginia,Severe Weather,150.0,51580,2023-11-27 21:00:00
958,2011-07-05 10:40:00+00:00,WECC,West Valley Substation Utah,Vandalism,0.0,0,2023-11-27 11:37:00
959,2011-07-06 09:51:00+00:00,NPCC,Vermont,Vandalism,0.0,0,2023-11-27 09:52:00
960,2011-07-08 10:00:00+00:00,MRO,"Saginaw, Minnesota",Vandalism,0.0,0,2023-11-27 10:00:00
961,2011-07-08 10:00:00+00:00,RFC,"PJM Corporate Office, Pennsylvania",Suspected Cyber Attack,0.0,0,2023-11-27 09:00:00
962,2011-07-11 09:00:00+00:00,RFC,Illinois,Severe Weather,0.0,500000,2023-11-27 09:00:00
963,2011-07-11 09:00:00+00:00,RFC,Michigan,Severe Weather,254.0,103000,2023-11-27 10:25:00
964,2011-07-11 11:15:00+00:00,RFC,Western and Southern Lower Peninsula Michigan,Severe Weather,0.0,85000,2023-11-27 08:15:00
965,2011-07-11 13:13:00+00:00,RFC,Southwest Ohio,Vandalism,0.0,0,2023-11-27 13:13:00
966,2011-07-11 13:30:00+00:00,NPCC,Maine,Vandalism,0.0,0,2023-11-27 13:30:00
967,2011-07-11 14:27:00+00:00,RFC,"Indiana, Michigan, Ohio",Severe Weather,0.0,120000,2023-11-27 15:50:00
968,2011-07-12 12:00:00+00:00,NPCC,Maine,Vandalism,0.0,0,2023-11-27 12:00:00
969,2011-07-12 20:20:00+00:00,WECC,California,Suspected Physical Attack,0.0,0,2023-11-27 21:30:00
970,2011-07-13 17:19:00+00:00,WECC,"Pueblo, Colorado",Load Shed,580.0,0,2023-11-27 22:03:00
971,2011-07-14 11:00:00+00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 19:00:00
972,2011-07-18 17:00:00+00:00,RFC,Southeast Michigan,Severe Weather,0.0,197166,2023-11-27 13:30:00
973,2011-07-19 11:45:00+00:00,NPCC,Maine,Vandalism,0.0,0,2023-11-27 15:00:00
974,2011-07-20 09:10:00+00:00,WECC,"Frederickson Substation, Washington",Vandalism,0.0,0,2023-11-27 16:30:00
975,2011-07-21 12:32:00+00:00,RFC,"Lower Peninsula, Michigan",Public Appeal to Reduce Electricity Usage,8881.0,0,2023-11-27 06:30:00
976,2011-07-21 13:00:00+00:00,SERC,"Springfield, Illinois",Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 15:00:00
977,2011-07-22 11:00:00+00:00,NPCC,"Upstate, New York",Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 18:00:00
978,2011-07-22 11:34:00+00:00,RFC,Ohio,Load Shed,206.0,23000,2023-11-27 17:26:00
979,2011-07-23 02:30:00+00:00,RFC,Illinois,Severe Weather,0.0,169000,2023-11-27 09:00:00
980,2011-07-24 14:34:00+00:00,NPCC,"Southern, New Hampshire",Vandalism,0.0,0,2023-11-27 15:47:00
981,2011-07-26 12:01:00+00:00,SPP,"Backup Control Center, Oklahoma",Vandalism,0.0,0,2023-11-27 12:01:00
982,2011-07-27 12:07:00+00:00,WECC,"Fife, Washington",Vandalism,0.0,0,2023-11-27 12:08:00
983,2011-07-28 07:26:00+00:00,SERC,"Daviess County, Kentucky",Fuel Supply Deficiency (Coal),0.0,0,2023-11-27 07:26:00
984,2011-07-28 00:14:00+00:00,RFC,"Entire ComEd Territory, Indiana",Severe Weather,0.0,201000,2023-11-27 12:00:00
985,2011-07-28 13:32:00+00:00,RFC,Indiana  ,Vandalism,0.0,0,2023-11-27 13:32:00
986,2011-07-28 19:25:00+00:00,WECC,"Spanaway, Washington",Vandalism,0.0,0,2023-11-27 19:25:00
987,2011-07-29 11:46:00+00:00,WECC,"Fredrickson, Washington",Vandalism,0.0,0,2023-11-27 17:00:00
988,2011-07-29 20:45:00+00:00,RFC,Central New Jersey,Severe Weather,0.0,67900,2023-11-27 04:24:00
989,2011-08-01 15:00:00+00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 19:00:00
990,2011-08-01 14:18:00+00:00,WECC,"Jefferson, Oregon",Vandalism,0.0,0,2023-11-27 14:18:00
991,2011-08-02 21:30:00+00:00,RFC,"Northeast, Illinois",Severe Weather,0.0,71500,2023-11-27 19:00:00
992,2011-08-02 10:15:00+00:00,SPP,Oklahoma,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 09:16:00
993,2011-08-03 10:00:00+00:00,NPCC,Western New York,Fuel Supply Deficiency (Coal),675.0,0,2023-11-27 10:00:00
994,2011-08-03 16:30:00+00:00,SPP,Central Arkansas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 21:00:00
995,2011-08-03 16:29:00+00:00,SPP,Northeast Oklahoma,Public Appeal to Reduce Electricity Usage,300.0,0,2023-11-27 23:40:00
996,2011-08-04 10:30:00+00:00,SPP,"Arkansas, Oklahoma, Texas",Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 16:00:00
997,2011-08-08 09:30:00+00:00,RFC,"Greene County, Ohio",Suspected Physical Attack,0.0,0,2023-11-27 09:30:00
998,2011-08-08 20:58:00+00:00,SPP,Northern and Central Oklahoma,Severe Weather,0.0,54000,2023-11-27 16:30:00
999,2011-08-08 19:36:00+00:00,SPP,Oklahoma,Electrical System Separation (Islanding),92.0,14500,2023-11-27 12:00:00
1000,2011-08-08 09:35:00+00:00,WECC,"Collins Substation, Washington",Vandalism,0.0,0,2023-11-27 16:00:00
1001,2011-08-09 10:26:00+00:00,WECC,"Polk Substation, Tacoma, Washington",Vandalism,0.0,0,2023-11-27 17:00:00
1002,2011-08-13 16:41:00+00:00,SERC,Kentucky,Severe Weather,0.0,181700,2023-11-27 19:00:00
1003,2011-08-15 02:05:00+00:00,WECC,Utah,Vandalism,0.0,0,2023-11-27 03:40:00
1004,2011-08-18 09:51:00+00:00,WECC,"Collins Substation, Washington",Suspected Physical Attack,0.0,0,2023-11-27 16:00:00
1005,2011-08-20 17:42:00+00:00,RFC,Southeastern Michigan,Severe Weather,254.0,65000,2023-11-27 20:00:00
1006,2011-08-21 22:45:00+00:00,,Puerto Rico,Severe Weather,2200.0,931000,2023-11-27 22:45:00
1007,2011-08-22 10:05:00+00:00,WECC,"Collins Substation, Washington",Suspected Physical Attack,0.0,0,2023-11-27 16:00:00
1008,2011-08-23 13:51:00+00:00,RFC,Virginia,Earthquake,0.0,0,2023-11-27 13:51:00
1009,2011-08-23 10:30:00+00:00,SPP,"Southeastern New Mexico,  Texas Panhandle",Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 16:54:00
1010,2011-08-23 15:43:00+00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 19:00:00
1011,2011-08-24 13:20:00+00:00,TRE,Texas,Public Appeal to Reduce Electricity Usage,0.0,0,2023-11-27 19:00:00
1012,2011-08-24 07:45:00+00:00,TRE,"Houston area, Texas",Severe Weather,485.0,79000,2023-11-27 06:00:00
1013,2011-08-24 14:51:00+00:00,SPP,"Arkansas, Louisiana, Texas",Severe Weather,0.0,53064,2023-11-27 22:00:00
1014,2011-08-25 00:01:00+00:00,NPCC,Maine,Suspected Physical Attack,0.0,0,2023-11-27 00:01:00
1015,2011-08-25 00:30:00+00:00,RFC,"Cleveland area, Ohio",Severe Weather,0.0,107833,2023-11-27 20:00:00
1016,2011-08-26 00:30:00+00:00,RFC,Pennsylvania,Severe Weather,0.0,200717,2023-11-27 00:30:00
1017,2011-08-27 23:05:00+00:00,RFC,District of Columbia; Maryland,Severe Weather,0.0,220000,2023-11-27 15:30:00
1018,2011-08-27 23:00:00+00:00,RFC,Maryland,Severe Weather,0.0,108000,2023-11-27 08:00:00
1019,2011-08-27 22:00:00+00:00,RFC,Southern New Jersey,Severe Weather,320.0,140000,2023-11-27 16:00:00
1020,2011-08-27 22:00:00+00:00,RFC,Pennsylvania,Severe Weather,0.0,264000,2023-11-27 22:00:00
1021,2011-08-27 20:30:00+00:00,RFC,Maryland,Severe Weather,1114.0,760113,2023-11-27 23:30:00
1022,2011-08-27 13:00:00+00:00,RFC,Delaware; Maryland,Severe Weather,0.0,165000,2023-11-27 13:00:00
1023,2011-08-27 19:00:00+00:00,SERC,Eastern North Carolina,Severe Weather,200.0,136000,2023-11-27 13:31:00
1024,2011-08-27 10:33:00+00:00,SERC,North Carolina; Virginia,Severe Weather,0.0,1000000,2023-11-27 14:00:00
1025,2011-08-27 02:57:00+00:00,SERC,Eastern North Carolina,Severe Weather,0.0,285465,2023-11-27 23:30:00
1026,2011-08-27 02:00:00+00:00,SERC,Wilson County North Carolina,Distribution System Interruption,2.0,1200,2023-11-27 05:15:00
1027,2011-08-28 12:30:00+00:00,NPCC,New York,Severe Weather,0.0,116000,2023-11-27 12:31:00
1028,2011-08-28 12:10:00+00:00,NPCC,Eastern Massachusetts,Severe Weather,0.0,50000,2023-11-27 12:11:00
1029,2011-08-28 09:42:00+00:00,NPCC,Eastern New York,Severe Weather,0.0,100000,2023-11-27 00:01:00
1030,2011-08-28 07:40:00+00:00,NPCC,Southwest Connecticut,Severe Weather,0.0,158000,2023-11-27 07:40:00
1031,2011-08-28 07:00:00+00:00,NPCC,New York,Severe Weather,0.0,99700,2023-11-27 00:01:00
1032,2011-08-28 05:01:00+00:00,NPCC,Borough's and Westshester County New York,Severe Weather,0.0,50000,2023-11-27 05:01:00
1033,2011-08-28 05:00:00+00:00,NPCC,"Long Island, New York",Severe Weather,0.0,152261,2023-11-27 05:00:00
1034,2011-08-28 00:01:00+00:00,NPCC,"Mid-Hudson, New York",Severe Weather,0.0,180000,2023-11-27 00:01:00
1035,2011-08-28 02:58:00+00:00,RFC,Eastern and Northeastern Pennsylvania,Severe Weather,110.0,284000,2023-11-27 02:58:00
1036,2011-08-28 00:30:00+00:00,RFC,Northern and Central New Jersey,Severe Weather,0.0,650000,2023-11-27 00:30:00
1037,2011-08-28 00:23:00+00:00,RFC,New Jersey,Severe Weather,500.0,665000,2023-11-27 00:23:00
1038,2011-08-28 20:55:00+00:00,WECC,"Calapooya Substation, Oregon",Suspected Physical Attack,0.0,0,2023-11-27 23:39:00
1039,2011-08-31 12:52:00+00:00,RFC,Southwest Ohio,Suspected Physical Attack,0.0,0,2023-11-27 12:52:00
1040,2011-09-01 08:13:00+00:00,WECC,"Graham Substaion, Washington",Vandalism,0.0,0,2023-11-27 16:00:00
1041,2011-09-03 14:00:00+00:00,RFC,"Southeast Lower Peninsula, Michigan",Severe Weather,0.0,105000,2023-11-27 18:00:00
1042,2011-09-05 16:30:00+00:00,SERC,Alabama; Georgia,Severe Weather,177.0,53295,2023-11-27 15:45:00
1043,2011-09-07 00:08:00+00:00,NPCC,Western Connecticut; New York,Actual Physical Attack,0.0,0,2023-11-27 10:50:00
1044,2011-09-08 15:28:00+00:00,WECC,Arizona; California,Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,7000.0,2000000,2023-11-27 15:30:00
1045,2011-09-08 19:53:00+00:00,WECC,"Collins Substation, Tacoma, Washington",Vandalism,0.0,0,2023-11-27 16:00:00
1046,2011-09-12 09:15:00+00:00,RFC,"English Creek, New Jersey",Vandalism,0.0,0,2023-11-27 15:30:00
1047,2011-09-13 11:43:00+00:00,WECC,"Lacamas Substation, Roy, Washington",Vandalism,0.0,0,2023-11-27 16:00:00
1048,2011-09-13 14:03:00+00:00,NPCC,"Saranac, New York",Vandalism,0.0,0,2023-11-27 18:21:00
1049,2011-09-14 09:00:00+00:00,WECC,"Salt Lake County, Utah",Vandalism,0.0,0,2023-11-27 14:00:00
1050,2011-09-20 12:55:00+00:00,WECC,"Lacamas Substaion, Washington",Vandalism,0.0,0,2023-11-27 17:00:00
1051,2011-09-21 10:30:00+00:00,RFC,"Hockessin, Delaware",Suspected Physical Attack,0.0,0,2023-11-27 10:30:00
1052,2011-09-21 14:37:00+00:00,,Puerto Rico,Generation Inadequacy; Load Shed,600.0,319616,2023-11-27 15:47:00
1053,2011-09-22 14:50:00+00:00,RFC,"Montgomery County, Ohio",Vandalism,0.0,0,2023-11-27 14:51:00
1054,2011-09-23 09:04:00+00:00,NPCC,"North Haven, Connecticut",Vandalism,0.0,0,2023-11-27 09:04:00
1055,2011-09-24 16:17:00+00:00,WECC,"Collins Substation, Tacoma, Washington",Vandalism,0.0,0,2023-11-27 16:00:00
1056,2011-09-26 10:15:00+00:00,RFC,"McKee City, New Jersey",Vandalism,0.0,0,2023-11-27 10:15:00
1057,2011-09-29 05:00:00+00:00,TRE,"Houston metro area, Texas",Severe Weather,0.0,65000,2023-11-27 06:00:00
1058,2011-09-28 09:30:00+00:00,NPCC,"Watertown, Connecticut",Vandalism,0.0,0,2023-11-27 13:00:00
1059,2011-09-28 14:59:00+00:00,RFC,"Dorothy, New Jersey",Vandalism,0.0,0,2023-11-27 14:59:00
1060,2011-09-28 16:41:00+00:00,RFC,"Bethany Beach, Delaware",Suspected Physical Attack,0.0,0,2023-11-27 16:41:00
1061,2011-09-29 18:44:00+00:00,WECC,"Collins Substation, Tacoma, Washington",Vandalism,0.0,0,2023-11-27 16:00:00
1062,2011-09-30 08:22:00+00:00,RFC,"Wilmington, Delaware",Suspected Physical Attack,0.0,0,2023-11-27 08:22:00
1063,2011-10-06 11:07:00+00:00,WECC,"Oquirrh Substation, Utah",Vandalism,0.0,0,2023-11-27 11:07:00
1064,2011-10-07 08:04:00+00:00,WECC,"Olympic Pipeline, Spanaway, Washington",Suspected Physical Attack,0.0,0,2023-11-27 16:00:00
1065,2011-10-14 14:20:00+00:00,RFC,"English Creek, New Jersey",Vandalism,0.0,0,2023-11-27 14:20:00
1066,2011-10-17 03:34:00+00:00,RFC,"Seat Pleasant, Maryland",Vandalism,0.0,0,2023-11-27 10:42:00
1067,2011-10-17 15:44:00+00:00,RFC,Southwest Ohio,Vandalism,7.0,2000,2023-11-27 15:44:00
1068,2011-10-18 03:45:00+00:00,RFC,"Holmesburg Substation, Philadelphia, Pennsylvania",Suspected Physical Attack,0.0,0,2023-11-27 05:25:00
1069,2011-10-20 07:15:00+00:00,RFC,"McKee, New Jersey",Vandalism,0.0,0,2023-11-27 07:15:00
1070,2011-10-24 23:37:00+00:00,RFC,"Holmesburg Substation, Philadelphia, Pennsylvania",Suspected Physical Attack,0.0,0,2023-11-27 23:00:00
1071,2011-10-26 05:00:00+00:00,WECC,"Denver; Ft. Collins, Colorado",Severe Weather,0.0,204000,2023-11-27 15:00:00
